"Name","Region","Electorate_05","CON_05","LAB_05","LIB_05","NAT_05","MIN_05","OTH_05","Abstained_05","Winner_05","CON_share_05","LAB_share_05","LIB_share_05","NAT_share_05","MIN_share_05","OTH_share_05","CON_share_all_05","LAB_share_all_05","LIB_share_all_05","NAT_share_all_05","MIN_share_all_05","OTH_share_all_05","Abstained_share_all_05","Electorate_10","CON_10","LAB_10","LIB_10","NAT_10","MIN_10","OTH_10","Abstained_10","Winner_10","CON_share_10","LAB_share_10","LIB_share_10","NAT_share_10","MIN_share_10","OTH_share_10","CON_share_all_10","LAB_share_all_10","LIB_share_all_10","NAT_share_all_10","MIN_share_all_10","OTH_share_all_10","Abstained_share_all_10"
"Bassetlaw",10,76203,16228,23387,5580,0,0,0,31008,"LAB",35.9066268392521,51.7468746542759,12.346498506472,0,0,0,21.2957495111741,30.690392766689,7.32254635644266,0,0,0,40.6913113656943,76542,16803,25018,5570,0,1779,407,26965,"LAB",33.8927325170946,50.4629162716582,11.235048510398,0,3.58835750448797,0.820945196361216,21.9526534451674,32.6853230905908,7.27705050821771,0,2.32421415693345,0.531734211282694,35.229024587808
"Bath",15,60184,13309,5766,19081,0,2225,898,18905,"LIB",32.2415756195644,13.9683616366676,46.2244724920662,0,5.39014995518302,2.17544029651881,22.1138508573707,9.58061943373654,31.7044397181975,0,3.69699587930347,1.49209092117506,31.4120031902167,65603,14768,3251,26651,0,1120,1296,18517,"LIB",31.3638873550525,6.90438771609396,56.6006881026207,0,2.37862634328675,2.7524104829461,22.5111656479124,4.95556605643035,40.6246665548832,0,1.70723899821655,1.975519412222,28.2258433303355
"Batley and Spen",7,73446,13915,20381,6670,0,1364,3375,27741,"LAB",30.4452466907341,44.5924953506181,14.5935893228312,0,2.98435619735259,7.38431243846406,18.9458922201345,27.7496391906979,9.08150205593225,0,1.8571467472701,4.595212809411,37.7706069765542,76732,17159,21565,8095,0,3685,605,25623,"LAB",33.5733432467863,42.1941341055391,15.8386976853392,0,7.21008041636502,1.18374454597038,22.3622478235938,28.1043111087942,10.5497054683835,0,4.8024292342178,0.788458530990982,33.3928478340197
"Battersea",17,69488,16347,16610,5984,0,0,2079,28468,"LAB",39.8512920526572,40.4924427108727,14.5880058508045,0,0,5.06825938566553,23.5249251669353,23.9034077826387,8.61155883030164,0,0,2.99188349067465,40.9682247294497,74300,23103,17126,7176,0,0,1387,25508,"CON",47.3499754058042,35.1000163961305,14.7073290703394,0,0,2.84267912772586,31.0942126514132,23.049798115747,9.65814266487214,0,0,1.86675639300135,34.3310901749663
"Beaconsfield",14,72225,24834,8707,10191,0,0,2253,26240,"CON",54.0045667065347,18.9344351418941,22.1615744264434,0,0,4.89942372512776,34.3842159916926,12.055382485289,14.1100726895119,0,0,3.11941848390447,36.3309103496019,74982,32053,6135,10271,0,2597,1434,22492,"CON",61.0649647551915,11.6879405601067,19.5675366736521,0,4.94760906839398,2.73194894265574,42.7475927555947,8.18196367128111,13.6979541756688,0,3.46349790616415,1.91245899015764,29.9965325011336
"Beckenham",17,63738,24596,9040,6287,0,0,1705,22110,"CON",59.0852310944557,21.7161525896032,15.102815412703,0,0,4.0958009032382,38.5892246383633,14.1830619096928,9.86381750290251,0,0,2.67501333584361,34.6888826131978,66219,27597,6893,9813,0,0,3383,18533,"CON",57.8723315019083,14.4549763033175,20.5783668162563,0,0,7.0943253785178,41.6753499750827,10.4093991150576,14.8190096497984,0,0,5.10880562980413,27.9874356302572
"Bedford",13,71551,14260,17755,9384,0,0,1302,28850,"LAB",33.3950024589588,41.5798224865928,21.9760661342826,0,0,3.0491089201658,19.929840253805,24.8144680018448,13.1151206831491,0,0,1.81968106665176,40.3208899945493,68491,17546,16193,8957,0,0,2406,23389,"CON",38.9029311338743,35.9030641656689,19.8594297370405,0,0,5.33457496341626,25.6179644040823,23.6425223752026,13.077630637602,0,0,3.51287030412755,34.1490122789856
"Bedfordshire Mid",13,73312,23781,11150,11455,0,0,3714,23212,"CON",47.4670658682635,22.2554890219561,22.8642714570858,0,0,7.41317365269461,32.4380728939328,15.2089698821475,15.625,0,0,5.06601920558708,31.6619380183326,76023,28815,8108,13663,0,2826,1485,21126,"CON",52.4892070604951,14.7694773849209,24.8884274186203,0,5.14782228537079,2.70506585059293,37.9030030385541,10.6651934283046,17.9721926259158,0,3.71729608144904,1.9533562211436,27.7889586046328
"Bedfordshire North East",13,72297,24202,12478,10533,0,0,1980,23104,"CON",49.198056634074,25.3653975159067,21.4115829487935,0,0,4.02496290122578,33.4758012089022,17.2593606926982,14.5690692559857,0,0,2.73870285074069,31.9570659916732,78060,30989,8957,12047,0,2294,1265,22508,"CON",55.7837701612903,16.1236319124424,21.6859879032258,0,4.12946428571429,2.27714573732719,39.6989495260056,11.474506789649,15.4330002562132,0,2.9387650525237,1.62054829618242,28.8342300794261
"Bedfordshire South West",13,74095,22114,13837,7725,0,0,2140,28279,"CON",48.2669809673476,30.201239741575,16.8609219486642,0,0,4.67085734241313,29.8454686551049,18.6746744044807,10.4258047101694,0,0,2.88818408799514,38.1658681422498,76559,26815,9948,10166,0,2142,1703,25785,"CON",52.8124630716509,19.5927049277189,20.0220585338953,0,4.21869460747627,3.35407885925868,35.0252746247992,12.993900129312,13.2786478402278,0,2.79784218707141,2.22442821875939,33.6799069998302
