"Market","date_char","Outcome","Back","Lay","Matched"
"2015 UK General Election - Most Seats","04/09/2014 15:31:34","Labour",1.74,1.76,NA
"2015 UK General Election - Most Seats","04/09/2014 15:31:34","Liberal Democrat",290,1000,NA
"2015 UK General Election - Most Seats","04/09/2014 23:14:56","Any Other",90,100,NA
"2015 UK General Election - Most Seats","04/09/2014 23:14:56","Conservative",2.38,2.42,NA
"2015 UK General Election - Most Seats","04/09/2014 23:14:56","Labour",1.74,1.76,NA
"2015 UK General Election - Most Seats","04/09/2014 23:14:56","Liberal Democrat",290,1000,NA
"2015 UK General Election - Most Seats","04/10/2014 13:29:33","Any Other",90,100,NA
"2015 UK General Election - Most Seats","04/10/2014 13:29:33","Conservative",2.36,2.38,NA
"2015 UK General Election - Most Seats","04/10/2014 13:29:33","Labour",1.75,1.76,NA
"2015 UK General Election - Most Seats","04/10/2014 13:29:33","Liberal Democrat",870,NA,NA
"2015 UK General Election - Most Seats","04/11/2014 12:06:49","Any Other",55,70,NA
"2015 UK General Election - Most Seats","04/11/2014 12:06:49","Conservative",2.26,2.28,NA
"2015 UK General Election - Most Seats","04/11/2014 12:06:49","Labour",1.83,1.84,NA
"2015 UK General Election - Most Seats","04/11/2014 12:06:49","Liberal Democrat",460,1000,NA
"2015 UK General Election - Most Seats","04/11/2014 22:30:31","Any Other",55,75,NA
"2015 UK General Election - Most Seats","04/11/2014 22:30:31","Conservative",2.24,2.28,NA
"2015 UK General Election - Most Seats","04/11/2014 22:30:31","Labour",1.83,1.86,NA
"2015 UK General Election - Most Seats","04/11/2014 22:30:31","Liberal Democrat",460,990,NA
"2015 UK General Election - Most Seats","04/12/2014 00:35:40","Any Other",70,90,NA
"2015 UK General Election - Most Seats","04/12/2014 00:35:40","Conservative",2.14,2.16,NA
"2015 UK General Election - Most Seats","04/12/2014 00:35:40","Labour",1.91,1.92,NA
"2015 UK General Election - Most Seats","04/12/2014 00:35:40","Liberal Democrat",860,NA,NA
"2015 UK General Election - Most Seats","04/12/2014 09:43:36","Any Other",70,90,NA
"2015 UK General Election - Most Seats","04/12/2014 09:43:36","Conservative",2.14,2.16,NA
"2015 UK General Election - Most Seats","04/12/2014 09:43:36","Labour",1.91,1.92,NA
"2015 UK General Election - Most Seats","04/12/2014 09:43:36","Liberal Democrat",860,NA,NA
"2015 UK General Election - Most Seats","04/12/2014 20:52:54","Any Other",75,90,NA
"2015 UK General Election - Most Seats","04/12/2014 20:52:54","Conservative",2.12,2.14,NA
"2015 UK General Election - Most Seats","04/12/2014 20:52:54","Labour",1.92,1.93,NA
"2015 UK General Election - Most Seats","04/12/2014 20:52:54","Liberal Democrat",860,NA,NA
"2015 UK General Election - Most Seats","05/06/2014 14:44:15","Any Other",95,180,NA
"2015 UK General Election - Most Seats","05/06/2014 14:44:15","Conservative",2.12,2.14,NA
"2015 UK General Election - Most Seats","05/06/2014 14:44:15","Labour",1.9,1.91,NA
"2015 UK General Election - Most Seats","05/06/2014 14:44:15","Liberal Democrat",450,960,NA
"2015 UK General Election - Most Seats","05/06/2014 23:50:43","Any Other",95,180,NA
"2015 UK General Election - Most Seats","05/06/2014 23:50:43","Conservative",2.12,2.16,NA
"2015 UK General Election - Most Seats","05/06/2014 23:50:43","Labour",1.89,1.91,NA
"2015 UK General Election - Most Seats","05/06/2014 23:50:43","Liberal Democrat",450,960,NA
"2015 UK General Election - Most Seats","05/07/2014 10:28:15","Any Other",120,180,NA
"2015 UK General Election - Most Seats","05/07/2014 10:28:15","Conservative",2.08,2.12,NA
"2015 UK General Election - Most Seats","05/07/2014 10:28:15","Labour",1.94,1.96,NA
"2015 UK General Election - Most Seats","05/07/2014 10:28:15","Liberal Democrat",560,1000,NA
"2015 UK General Election - Most Seats","05/07/2014 16:53:24","Any Other",100,180,NA
"2015 UK General Election - Most Seats","05/07/2014 16:53:24","Conservative",2.08,2.12,NA
"2015 UK General Election - Most Seats","05/07/2014 16:53:24","Labour",1.93,1.96,NA
"2015 UK General Election - Most Seats","05/07/2014 16:53:24","Liberal Democrat",560,1000,NA
"2015 UK General Election - Most Seats","05/07/2014 20:16:34","Any Other",100,180,NA
"2015 UK General Election - Most Seats","05/07/2014 20:16:34","Conservative",2.08,2.12,NA
"2015 UK General Election - Most Seats","05/07/2014 20:16:34","Labour",1.93,1.95,NA
"2015 UK General Election - Most Seats","05/07/2014 20:16:34","Liberal Democrat",560,1000,NA
"2015 UK General Election - Most Seats","05/09/2014 11:10:18","Any Other",90,100,NA
"2015 UK General Election - Most Seats","05/09/2014 11:10:18","Conservative",2.36,2.38,NA
"2015 UK General Election - Most Seats","05/09/2014 11:10:18","Labour",1.75,1.76,NA
"2015 UK General Election - Most Seats","05/09/2014 11:10:18","Liberal Democrat",300,1000,NA
"2015 UK General Election - Most Seats","05/09/2014 17:53:47","Any Other",90,100,NA
"2015 UK General Election - Most Seats","05/09/2014 17:53:47","Conservative",2.4,2.42,NA
"2015 UK General Election - Most Seats","05/09/2014 17:53:47","Labour",1.73,1.74,NA
"2015 UK General Election - Most Seats","05/09/2014 17:53:47","Liberal Democrat",300,1000,NA
"2015 UK General Election - Most Seats","05/10/2014 00:58:38","Any Other",90,100,NA
"2015 UK General Election - Most Seats","05/10/2014 00:58:38","Conservative",2.36,2.38,NA
"2015 UK General Election - Most Seats","05/10/2014 00:58:38","Labour",1.75,1.77,NA
"2015 UK General Election - Most Seats","05/10/2014 00:58:38","Liberal Democrat",870,NA,NA
"2015 UK General Election - Most Seats","05/10/2014 10:08:57","Any Other",90,100,NA
"2015 UK General Election - Most Seats","05/10/2014 10:08:57","Conservative",2.34,2.38,NA
"2015 UK General Election - Most Seats","05/10/2014 10:08:57","Labour",1.76,1.77,NA
"2015 UK General Election - Most Seats","05/10/2014 10:08:57","Liberal Democrat",870,NA,NA
"2015 UK General Election - Most Seats","05/12/2014 09:12:05","Any Other",75,90,NA
"2015 UK General Election - Most Seats","05/12/2014 09:12:05","Conservative",2.1,2.14,NA
"2015 UK General Election - Most Seats","05/12/2014 09:12:05","Labour",1.92,1.94,NA
"2015 UK General Election - Most Seats","05/12/2014 09:12:05","Liberal Democrat",860,NA,NA
"2015 UK General Election - Most Seats","06/01/2015 17:16:04","Any Other",130,180,NA
"2015 UK General Election - Most Seats","06/01/2015 17:16:04","Conservative",2.1,2.12,NA
"2015 UK General Election - Most Seats","06/01/2015 17:16:04","Labour",1.91,1.93,NA
"2015 UK General Election - Most Seats","06/01/2015 17:16:04","Liberal Democrat",860,1000,NA
"2015 UK General Election - Most Seats","06/01/2015 17:20:24","Any Other",130,180,NA
"2015 UK General Election - Most Seats","06/01/2015 17:20:24","Conservative",2.08,2.12,NA
"2015 UK General Election - Most Seats","06/01/2015 17:20:24","Labour",1.91,1.94,NA
"2015 UK General Election - Most Seats","06/01/2015 17:20:24","Liberal Democrat",860,1000,NA
"2015 UK General Election - Most Seats","06/06/2014 14:56:26","Any Other",100,260,NA
"2015 UK General Election - Most Seats","06/06/2014 14:56:26","Conservative",2.12,2.18,NA
"2015 UK General Election - Most Seats","06/06/2014 14:56:26","Labour",1.86,1.9,NA
"2015 UK General Election - Most Seats","06/06/2014 14:56:26","Liberal Democrat",450,960,NA
"2015 UK General Election - Most Seats","06/07/2014 00:14:01","Any Other",100,180,NA
"2015 UK General Election - Most Seats","06/07/2014 00:14:01","Conservative",2.08,2.12,NA
"2015 UK General Election - Most Seats","06/07/2014 00:14:01","Labour",1.93,1.95,NA
