"date_char","Any Other Party or Candidate_Back","Any Other Party or Candidate_Lay","Conservative_Back","Conservative_Lay","Green_Back","Green_Lay","Labour_Back","Labour_Lay","Liberal Democrat_Back","Liberal Democrat_Lay","Pub Landlord - Al Murray_Back","Pub Landlord - Al Murray_Lay","UKIP_Back","UKIP_Lay"
"31/03/2015 09:28:53",NA,NA,5.2,7,100,1000,6.6,7,120,1000,120,1000,1.45,1.46
"31/03/2015 20:14:45",NA,NA,5.2,7,100,1000,6.6,7,120,1000,120,1000,1.45,1.47
"01/04/2015 10:14:07",NA,NA,5.2,7,100,1000,6.2,6.6,120,1000,120,1000,1.47,1.48
"01/04/2015 16:58:03",NA,NA,5.2,7,100,1000,5.9,6.6,120,1000,120,1000,1.51,1.55
"01/04/2015 23:43:22",NA,NA,5.6,7,100,1000,6,6.6,120,1000,120,1000,1.41,1.51
"02/04/2015 11:20:09",NA,NA,5.6,7.2,100,1000,5.9,6.6,120,1000,120,1000,1.41,1.51
"02/04/2015 13:44:23",NA,NA,5.6,7,100,1000,5.9,6.6,120,1000,120,1000,1.44,1.51
"02/04/2015 22:32:42",NA,NA,5.6,7,100,1000,5.9,6.6,120,1000,120,1000,1.4,1.45
"03/04/2015 10:29:53",NA,NA,6,7,100,1000,6,6.6,120,1000,120,1000,1.4,1.45
"04/04/2015 09:19:42",NA,NA,6,1000,1.01,1000,5.9,6.6,110,1000,120,1000,1.41,1.44
"04/04/2015 12:51:54",NA,NA,6,1000,1.01,1000,6,6.6,110,1000,120,1000,1.41,1.44
"04/04/2015 19:40:43",NA,NA,6,1000,1.01,1000,6,6.6,110,1000,120,1000,1.41,1.45
"05/04/2015 13:36:03",NA,NA,3.6,1000,100,1000,5.5,6.6,120,1000,170,1000,1.62,1.71
"05/04/2015 23:25:20",NA,NA,3.3,6.6,100,1000,6,6.6,120,1000,170,1000,1.67,1.71
"06/04/2015 10:24:01",NA,NA,3.3,6.6,100,1000,5.5,6.8,120,1000,170,1000,1.65,1.71
"07/04/2015 08:11:38",NA,NA,3.95,6.4,1.01,1000,6,6.6,110,1000,170,1000,1.61,1.65
"07/04/2015 16:27:54",NA,NA,4.2,6.4,1.01,1000,5.5,6.8,110,1000,170,1000,1.67,1.77
"08/04/2015 09:57:19",NA,NA,4.3,4.6,1.01,1000,5.4,6.8,110,1000,170,1000,1.68,1.69
"08/04/2015 18:32:52",NA,NA,4.3,4.6,1.01,1000,5.4,6.8,110,1000,170,1000,1.68,1.69
"09/04/2015 08:55:57",NA,NA,4.3,4.6,1.01,1000,5.4,6.8,110,1000,170,1000,1.67,1.69
"09/04/2015 14:07:09",NA,NA,4.3,4.6,1.01,1000,5.4,6.8,110,1000,170,1000,1.67,1.69
"10/04/2015 11:07:55",NA,NA,4.8,6,1.01,1000,5.4,5.8,110,1000,170,1000,1.67,1.69
"10/04/2015 19:06:15",NA,NA,4.8,6,1.01,1000,4.6,4.9,110,1000,170,1000,1.68,1.7
"11/04/2015 00:31:51",NA,NA,4.3,6,1.01,1000,4.6,4.7,110,1000,170,1000,1.68,1.7
"11/04/2015 09:47:15",NA,NA,4.4,6,1.01,1000,4.1,4.7,110,1000,170,1000,1.68,1.69
"11/04/2015 22:42:24",NA,NA,4.3,7.2,1.01,1000,4.6,4.7,110,1000,170,1000,1.51,1.69
"12/04/2015 21:45:20",NA,NA,4.2,6.8,1.01,1000,4.1,5,110,1000,170,1000,1.57,1.67
"13/04/2015 08:16:46",NA,NA,4.4,5.5,1.01,1000,4.3,5,110,1000,170,1000,1.57,1.67
"13/04/2015 17:36:00",NA,NA,4.2,5.5,1.01,1000,4.5,5,110,1000,170,1000,1.63,1.69
"14/04/2015 07:54:57",NA,NA,5,5.5,1.01,1000,4.5,4.7,110,1000,170,1000,1.5,1.68
"14/04/2015 16:35:19",NA,NA,4.7,6.6,1.01,1000,4.5,5,110,1000,170,1000,1.58,1.68
"14/04/2015 20:44:03",4.9,1000,4.9,6.6,46,1000,4.5,5,110,1000,170,1000,1.64,1.68
"15/04/2015 10:59:49",11,1000,4.6,6.6,190,1000,4.5,5.1,160,1000,240,1000,1.61,1.7
"15/04/2015 15:20:00",10.5,1000,4.6,5.5,190,1000,4.8,5.1,160,1000,240,1000,1.66,1.7
"15/04/2015 19:27:28",8.4,1000,4.6,5.4,190,1000,4.8,5.2,160,1000,240,1000,1.65,1.69
"16/04/2015 10:32:24",13.5,1000,4.6,5.4,190,1000,5.1,5.2,160,1000,240,1000,1.67,1.69
"16/04/2015 13:36:11",13.5,1000,4.6,5.3,190,1000,5.1,5.2,160,1000,240,1000,1.67,1.69
"16/04/2015 15:36:13",17,1000,4.2,5,190,1000,5.1,6.6,160,1000,240,1000,1.65,1.7
"16/04/2015 23:31:10",12.5,1000,4.2,5.5,190,1000,5.1,6.6,160,1000,240,1000,1.59,1.68
"17/04/2015 08:34:14",12.5,1000,4.2,5.5,190,1000,5.1,6.6,160,1000,240,1000,1.61,1.67
"17/04/2015 17:48:17",14,1000,4.2,5.3,190,1000,5.1,6.6,160,1000,240,1000,1.61,1.7
"18/04/2015 00:01:33",14,1000,4.3,5.5,190,1000,5.3,6.6,160,1000,240,1000,1.53,1.68
"18/04/2015 13:28:33",12.5,1000,4.2,5.5,190,1000,5.1,6.6,160,1000,240,1000,1.58,1.7
"18/04/2015 20:14:44",12.5,1000,4.2,5.5,190,1000,5.1,6.6,160,1000,240,1000,1.59,1.67
"19/04/2015 11:34:23",9.6,1000,4.2,5.5,190,1000,5.2,8,160,1000,240,1000,1.6,1.7
"19/04/2015 19:23:25",9.4,1000,4.2,4.7,190,1000,5.5,8,160,1000,240,1000,1.56,1.74
"20/04/2015 11:22:52",10,1000,4.2,4.7,190,1000,5,8,160,1000,120,1000,1.61,1.73
"20/04/2015 19:06:03",9.4,1000,4.2,4.7,190,1000,5,7.6,160,1000,120,1000,1.66,1.73
"21/04/2015 08:43:38",14,1000,4.2,4.7,190,1000,5.1,7.6,160,1000,120,1000,1.65,1.69
"21/04/2015 23:21:45",9.2,1000,4.2,5.5,85,130,5.2,8,160,1000,120,1000,1.64,1.69
"22/04/2015 08:46:49",10,1000,4.2,5.5,85,800,5.2,8,160,1000,120,1000,1.64,1.69
"22/04/2015 15:03:12",11,1000,4.2,5.5,60,800,5.2,8,160,1000,120,1000,1.64,1.67
"23/04/2015 00:19:56",13.5,1000,4.2,5,85,170,5.2,8,160,1000,30,1000,1.61,1.69
"23/04/2015 10:21:11",22,1000,4.2,4.7,85,800,5.9,8,160,1000,30,1000,1.58,1.64
"23/04/2015 17:12:09",21,1000,4.2,4.7,85,130,5.7,8,160,1000,120,1000,1.58,1.65
"24/04/2015 00:14:07",6.2,1000,4.2,5.4,85,130,7,19.5,160,1000,120,1000,1.49,1.55
"24/04/2015 10:09:31",8.6,1000,4.2,5.3,85,130,7.2,9.2,160,1000,120,1000,1.48,1.59
"24/04/2015 17:08:00",48,1000,4.3,4.6,85,130,7.4,8.8,160,1000,120,1000,1.51,1.56
"24/04/2015 19:57:48",15.5,1000,4.2,4.8,85,130,7.6,12.5,160,1000,120,1000,1.43,1.52
"25/04/2015 00:07:22",30,1000,4.2,4.8,85,130,7.4,9,160,1000,120,1000,1.48,1.54
"25/04/2015 10:16:43",10.5,1000,4.2,5.4,85,230,7.2,19.5,160,1000,120,1000,1.45,1.49
"25/04/2015 11:25:07",10.5,1000,4.2,5.4,85,230,7.2,19.5,160,1000,120,1000,1.45,1.49
"25/04/2015 14:46:10",10.5,1000,4.2,5.4,85,230,7,19.5,160,1000,120,1000,1.45,1.49
"25/04/2015 18:14:44",10.5,1000,4.2,5.3,90,800,7.2,19.5,160,1000,120,1000,1.45,1.49
"26/04/2015 09:45:54",12,1000,4.2,4.9,90,800,6.6,15,160,1000,120,1000,1.45,1.48
"26/04/2015 20:00:46",250,1000,4.2,4.9,110,800,8,14,250,1000,250,1000,1.45,1.48
"27/04/2015 09:36:42",250,1000,4.2,4.5,110,800,8.2,14,250,1000,250,1000,1.48,1.52
"27/04/2015 12:49:03",250,1000,4.2,4.5,110,800,9.2,14,250,1000,250,1000,1.45,1.48
"27/04/2015 18:41:50",250,1000,4.2,4.5,85,800,9.6,12.5,250,1000,260,1000,1.45,1.48
"27/04/2015 22:38:09",250,1000,4.3,4.9,85,800,9.8,12.5,250,1000,260,1000,1.45,1.46
"28/04/2015 07:58:47",250,1000,4.4,4.9,85,800,9.8,12.5,250,1000,20,1000,1.45,1.46
"28/04/2015 14:38:56",250,1000,4.3,4.7,85,800,7.6,9.4,250,1000,36,1000,1.49,1.51
